COUNTRY_ID,country_name,district_name,GAUL_CODE,total_population_2016,coverage_untargeted_biased_2016,coverage_untargeted_unbiased_2016,coverage_targeted_2016,number_to_vaccinate_untargeted_biased_2016,number_to_vaccinate_untargeted_unbiased_2016,number_to_vaccinate_targeted_2016,coverage_untargeted_biased_1970,coverage_untargeted_biased_1980,coverage_untargeted_biased_1990,coverage_untargeted_biased_2000,coverage_untargeted_biased_2010,coverage_untargeted_unbiased_1970,coverage_untargeted_unbiased_1980,coverage_untargeted_unbiased_1990,coverage_untargeted_unbiased_2000,coverage_untargeted_unbiased_2010,coverage_targeted_1970,coverage_targeted_1980,coverage_targeted_1990,coverage_targeted_2000,coverage_targeted_2010
AGO,Angola,Waku Kungu,4256,129508.5514,0.674280323,0.77834194,0.876367058,16282,2805,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cahama,4257,75531.96779,0.360210242,0.360210242,0.360210242,33218,33218,33218,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cuanhama,4258,220872.8854,0.360210242,0.360210242,0.360210242,97138,97138,97138,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Curoca,4259,58910.56884,0.360210242,0.360210242,0.360210242,25908,25908,25908,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cuvelai,4260,51597.68335,0.360210242,0.360210242,0.360210242,22692,22692,22692,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Namacunde,4261,156150.1227,0.360210242,0.360210242,0.360210242,68673,68673,68673,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Ombadja,4262,154358.8984,0.360210242,0.360210242,0.360210242,67885,67885,67885,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Bailundo,4263,58676.61905,0.674280323,0.77834194,0.876367058,7377,1271,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Caala,4264,414652.214,0.674280323,0.77834194,0.876367058,52130,8981,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Ekunha,4265,93536.05396,0.674280323,0.77834194,0.876367058,11759,2026,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Huambo,4266,740003.7068,0.674280323,0.77834194,0.876367058,93033,16027,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Katchiungo,4267,71678.75745,0.674280323,0.77834194,0.876367058,9011,1552,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Londuimbali,4268,164876.3994,0.674280323,0.77834194,0.876367058,20728,3571,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
