location_id,year_id,GBD_mean,JRF_admin,bias_term
ARE,2015,0.98091716,0.99,0.990825414
ARG,1980,0.51921624,0.44,1.180036909
ARG,1981,0.54311222,0.49,1.108392286
ARG,1982,0.57132304,0.58,0.985039724
ARG,1983,0.60204309,0.61,0.986955885
ARG,1984,0.63411814,0.62,1.022771194
ARG,1985,0.66599935,0.66,1.009089924
ARG,1986,0.69746184,0.67,1.040987821
ARG,1987,0.72699368,0.75,0.969324907
ARG,1988,0.75275409,0.8,0.940942613
ARG,1989,0.77386481,0.8,0.967331013
ARG,1990,0.79110378,0.87,0.90931469
ARG,1991,0.80388802,0.8,1.004860025
ARG,1992,0.81450415,0.81,1.005560679
ARG,1993,0.82345355,0.81,1.016609321
ARG,1994,0.83148241,0.82,1.014002939
ARG,1995,0.83871281,0.85,0.986720953
ARG,1996,0.84562689,0.83,1.018827578
ARG,1997,0.85295224,0.88,0.969263909
ARG,1998,0.8601166,0.84,1.023948333
ARG,1999,0.86892349,0.86,1.010376151
ARG,2000,0.87821329,0.83,1.058088301
ARG,2001,0.88834566,0.83,1.070295976
ARG,2002,0.89858013,0.93,0.966215194
ARG,2003,0.9071871,0.96,0.944986563
ARG,2004,0.91360199,0.98,0.932246929
ARG,2005,0.91914755,0.98,0.937905663
ARG,2006,0.92221451,0.91,1.013422538
ARG,2007,0.92518932,0.91,1.01669156
ARG,2008,0.92805505,0.93,0.997908656
ARG,2009,0.93030012,0.94,0.989680979
ARG,2010,0.93222982,0.94,0.991733851
ARG,2011,0.93394446,0.91,1.026312593
ARG,2012,0.93569583,0.91,1.028237176
ARG,2013,0.93776685,0.94,0.997624309
ARG,2014,0.93981481,0.94,0.999802989
ARG,2015,0.941863,0.94,1.001981915
ARM,1980,0.87571025,NA,NA
ARM,1981,0.88132209,NA,NA
ARM,1982,0.88676137,NA,NA
ARM,1983,0.89209491,NA,NA
ARM,1984,0.89724231,NA,NA
ARM,1985,0.90217781,NA,NA
ARM,1986,0.90702432,NA,NA
ARM,1987,0.91168147,NA,NA
ARM,1988,0.91615981,NA,NA
ARM,1989,0.92040354,NA,NA
ARM,1990,0.92427129,0.81,1.141075667
ARM,1991,0.928325,0.83,1.118463855
ARM,1992,0.93185091,0.85,1.096295188
